Log Age,Age(yr),Age(Myr),Mbol,Mu,Mb,Mv,Mk
6.579999,3801885.209,3.801885209,-2.8561,-1.1339,-0.3366,-0.2109,-0.0758
6.6,3981071.706,3.981071706,-2.7367,-1.1839,-0.5254,-0.4431,-0.402
6.619999,4168684.236,4.168684236,-2.6148,-1.1549,-0.5719,-0.5141,-0.5483
6.639999,4365148.271,4.365148271,-2.5453,-1.0514,-0.4552,-0.3924,-0.4451
6.66,4570881.896,4.570881896,-2.4806,-0.9349,-0.2367,-0.1362,-0.1061
6.679999,4786289.902,4.786289902,-2.4047,-0.8317,-0.025,0.1244,0.2888
6.699999,5011860.796,5.011860796,-2.3218,-0.7357,0.1323,0.2999,0.516
6.72,5248074.602,5.248074602,-2.229,-0.6516,0.2492,0.4243,0.6884
6.739999,5495396.085,5.495396085,-2.1506,-0.6548,0.1807,0.3341,0.5242
6.759999,5754386.123,5.754386123,-2.082,-0.6592,0.107,0.232,0.2963
6.78,6025595.861,6.025595861,-2.0127,-0.6522,0.0534,0.1516,0.1023
6.799999,6309558.916,6.309558916,-1.938,-0.6285,0.0231,0.0941,-0.0655
6.819999,6606919.267,6.606919267,-1.8551,-0.5371,0.0789,0.1141,-0.2193
6.839999,6918293.779,6.918293779,-1.775,-0.4404,0.1993,0.2316,-0.1976
6.86,7244359.601,7.244359601,-1.7187,-0.3934,0.2448,0.2637,-0.2857
6.879999,7585758.283,7.585758283,-1.6547,-0.3361,0.2998,0.3045,-0.3665
6.899999,7943264.057,7.943264057,-1.5911,-0.2748,0.3607,0.3512,-0.4415
6.919999,8317618.559,8.317618559,-1.5229,-0.2062,0.4299,0.4064,-0.5106
6.939999,8709615.845,8.709615845,-1.4513,-0.1319,0.5074,0.4703,-0.5742
6.959999,9120087.394,9.120087394,-1.3742,-0.047,0.5974,0.5473,-0.6317
6.979999,9549903.871,9.549903871,-1.296,0.0453,0.6994,0.6379,-0.6836
6.999999,9999976.974,9.999976974,-1.213,0.1452,0.8231,0.7695,-0.6322
7.02,10471285.48,10.47128548,-1.1269,0.2571,0.9722,0.9379,-0.5
7.040001,10964807.21,10.96480721,-1.0711,0.2909,1.011,0.9868,-0.4054
7.059999,11481509.78,11.48150978,-1.0115,0.3298,1.0556,1.0409,-0.3135
7.079998,12022588.98,12.02258898,-0.95,0.3717,1.1029,1.0987,-0.2157
7.099998,12589196.14,12.58919614,-0.8861,0.4197,1.1614,1.1679,-0.1114
7.119998,13182506.68,13.18250668,-0.8194,0.4734,1.2291,1.2471,-0.0014
7.139998,13803779.08,13.80377908,-0.7519,0.5332,1.3069,1.338,0.1131
7.16,14454397.71,14.45439771,-0.6811,0.6001,1.4004,1.4528,0.2851
7.18,15135612.48,15.13561248,-0.6077,0.6856,1.507,1.5694,0.3812
7.199999,15848895.43,15.84889543,-0.5505,0.7302,1.5367,1.5869,0.3378
7.219998,16595792.65,16.59579265,-0.4944,0.7699,1.5567,1.5908,0.2728
7.24,17378008.29,17.37800829,-0.439,0.8101,1.5693,1.5889,0.2139
7.26,18197008.59,18.19700859,-0.38,0.8538,1.592,1.5968,0.1621
7.28,19054607.18,19.05460718,-0.3202,0.8991,1.6176,1.6079,0.1164
7.3,19952623.15,19.95262315,-0.2611,0.9461,1.6449,1.6212,0.077
7.319999,20892913.2,20.8929132,-0.1979,0.9927,1.6815,1.6606,0.1334
7.34,21877616.24,21.87761624,-0.138,1.0544,1.7319,1.6956,0.1385
7.359999,22908623.78,22.90862378,-0.086,1.0986,1.7591,1.7056,0.1268
7.38,23988329.19,23.98832919,-0.0333,1.1443,1.7881,1.7181,0.1177
7.399999,25118806.48,25.11880648,0.0217,1.1924,1.8198,1.7334,0.1114
7.419999,26302619.35,26.30261935,0.0783,1.2422,1.8538,1.7513,0.1081
7.439999,27542223.61,27.54222361,0.137,1.2951,1.8905,1.7727,0.108
7.462398,29000000.14,29.00000014,0.2047,1.3576,1.9362,1.8018,0.1122
7.477121,29999982.4,29.9999824,0.2504,1.4007,1.9686,1.8239,0.1177
7.491362,31000021.85,31.00002185,0.2957,1.444,2.0018,1.8479,0.1253
7.50515,32000001.6,32.0000016,0.3387,1.4864,2.0353,1.8734,0.1348
7.518514,33000004.57,33.00000457,0.379,1.527,2.0691,1.9008,0.1463
7.531479,34000006.49,34.00000649,0.4203,1.564,2.1049,1.9389,0.1912
7.544068,34999996.43,34.99999643,0.459,1.6033,2.1457,1.9777,0.2142
7.556303,36000041.38,36.00004138,0.4914,1.6223,2.1573,1.9917,0.2492
7.568202,37000023.51,37.00002351,0.5208,1.6406,2.1673,2.0015,0.269
7.579783,37999947.8,37.9999478,0.5506,1.6592,2.1777,2.0119,0.2898
7.591064,38999945.49,38.99994549,0.5801,1.6777,2.188,2.0227,0.3116
7.60206,40000000.8,40.0000008,0.6084,1.6933,2.1953,2.0315,0.334
7.628389,42500006.85,42.50000685,0.6811,1.7388,2.2222,2.0619,0.3957
7.653213,45000050.38,45.00005038,0.7545,1.7857,2.2497,2.0951,0.4645
7.676693,47499933.32,47.49993332,0.8258,1.8319,2.2764,2.1303,0.5414
7.69897,49999999.5,49.9999995,0.8941,1.8774,2.3025,2.1676,0.6275
7.72016,52500084.21,52.50008421,0.9609,1.9223,2.3306,2.2089,0.7242
7.740363,55000039.32,55.00003932,1.0246,1.9634,2.3612,2.258,0.843
7.756545,57088022.56,57.08802256,1.0708,2.0018,2.3882,2.2887,0.8902
7.806545,64053814.83,64.05381483,1.1979,2.0986,2.4346,2.3387,0.9805
7.856545,71869562.31,71.86956231,1.3328,2.1964,2.4969,2.4118,1.1202
7.906545,80638975.22,80.63897522,1.4588,2.2912,2.5608,2.476,1.2076
7.956545,90478418.33,90.47841833,1.5837,2.3806,2.6188,2.5278,1.2742
8.006543,101517987.6,101.5179876,1.7198,2.4782,2.6976,2.6036,1.3817
8.056546,113905842.3,113.9058423,1.7714,2.5763,2.7821,2.6777,1.0028
8.106544,127803868.6,127.8038686,1.882,2.6481,2.8328,2.7165,1.0818
8.156547,143399289.7,143.3992897,2.0068,2.7361,2.9027,2.7756,1.1878
8.206545,160895908.4,160.8959084,2.1435,2.8422,2.9935,2.8583,1.3314
8.256547,180529009.8,180.5290098,2.2839,2.9632,3.1006,2.9567,1.4916
8.306547,202556880.5,202.5568805,2.3785,3.0543,3.1715,3.0008,1.4985
8.356546,227272034.7,227.2720347,2.4686,3.1577,3.2503,3.0498,1.461
8.406547,255004004.2,255.0040042,2.5754,3.274,3.3437,3.1203,1.4655
8.456547,286119198.6,286.1191986,2.7022,3.4048,3.4553,3.2164,1.5209
8.506547,321031021,321.031021,2.8536,3.5433,3.5859,3.3481,1.6462
8.556547,360202730,360.20273,3.0105,3.6823,3.7113,3.4766,1.8046
8.606546,404153179.7,404.1531797,3.1373,3.8152,3.8212,3.5685,1.9041
8.656548,453469414.3,453.4694143,3.2386,3.9448,3.9301,3.6528,1.9302
8.706548,508801051.3,508.8010513,3.3478,4.0699,4.0424,3.7491,1.9898
8.756548,570884169.1,570.8841691,3.4492,4.1965,4.1531,3.8369,2.0427
8.806548,640542573,640.542573,3.5439,4.3191,4.2575,3.9128,2.0955
8.856548,718700587.7,718.7005877,3.6382,4.4429,4.366,3.9915,2.1438
8.906549,806397179.3,806.3971793,3.7358,4.5645,4.4815,4.0786,2.201
8.956549,904792516.7,904.7925167,3.856,4.6856,4.6102,4.1881,2.3015
9.006547,1015189226,1015.189226,3.9711,4.8138,4.7403,4.2946,2.3926
9.05655,1139068914,1139.068914,3.9615,4.9177,4.802,4.2948,2.311
9.106548,1278050457,1278.050457,3.6259,4.9926,4.7806,4.1553,1.6511
9.156549,1433999500,1433.9995,4.1858,5.3575,5.182,4.6056,2.3533
9.206551,1608981312,1608.981312,4.3837,5.5179,5.3484,4.7642,2.6007
9.225309,1679998910,1679.99891,4.4168,5.5684,5.3949,4.7997,2.6248
9.230449,1700000308,1700.000308,4.4256,5.5834,5.4082,4.8095,2.6307
9.255273,1800002051,1800.002051,4.4695,5.6592,5.4749,4.8588,2.6597
9.278753,1899997371,1899.997371,4.5114,5.7366,5.5406,4.9078,2.684
9.30103,2000000020,2000.00002,4.571,5.8104,5.6141,4.9708,2.7347
9.322219,2099998575,2099.998575,4.6238,5.8762,5.682,5.0294,2.7742
9.342422,2199996551,2199.996551,4.677,5.9273,5.7386,5.0769,2.8309
9.361728,2300000868,2300.000868,4.7043,5.9632,5.7764,5.1079,2.849
9.380211,2399998664,2399.998664,4.7263,5.9898,5.8016,5.1322,2.8658
9.39794,2499999950,2499.99995,4.7414,6.0161,5.823,5.1497,2.8748
9.414973,2599997917,2599.997917,4.7425,6.0528,5.8521,5.1608,2.8565
9.439333,2750001939,2750.001939,4.7659,6.1188,5.9076,5.1995,2.8553
9.477121,2999998240,2999.99824,4.8323,6.2104,5.993,5.2731,2.9098
9.511884,3250004782,3250.004782,4.9776,6.3295,6.1288,5.4176,3.0587
9.544068,3499999643,3499.999643,5.069,6.416,6.2189,5.5077,3.1539
9.574031,3749997688,3749.997688,5.1206,6.4843,6.2845,5.5694,3.1923
9.60206,4000000080,4000.00008,5.1756,6.5499,6.348,5.6294,3.24
9.628389,4250000685,4250.000685,5.2364,6.6148,6.4119,5.6906,3.2987
9.653213,4500005038,4500.005038,5.2902,6.6754,6.471,5.7467,3.3507
9.676694,4750004270,4750.00427,5.3273,6.7273,6.5189,5.7899,3.383
9.69897,4999999950,4999.99995,5.364,6.777,6.5647,5.8314,3.416
9.72016,5250008421,5250.008421,5.4004,6.8252,6.6091,5.8718,3.4489
9.740363,5500003932,5500.003932,5.4367,6.8724,6.6525,5.9113,3.4819
9.759667,5749988816,5749.988816,5.4725,6.9187,6.6947,5.9497,3.5146
9.778152,6000010356,6000.010356,5.4942,6.9591,6.7271,5.9756,3.53
9.79588,6249999750,6249.99975,5.5159,6.9992,6.7608,6.0038,3.5425
9.812913,6499994662,6499.994662,5.5404,7.0402,6.7961,6.0341,3.559
9.829304,6750003531,6750.003531,5.565,7.0797,6.8302,6.0638,3.5767
9.845098,6999999355,6999.999355,5.5905,7.1189,6.8639,6.0932,3.5965
9.860338,7249999890,7249.99989,5.616,7.1569,6.8968,6.1224,3.6168
9.875061,7499995451,7499.995451,5.6423,7.1936,6.9288,6.1512,3.6394
9.889301,7749987464,7749.987464,5.669,7.2296,6.9605,6.1798,3.6628
9.90309,8000000240,8000.00024,5.696,7.2649,6.9918,6.2084,3.6873
9.916454,8250000977,8250.000977,5.7245,7.3,7.0233,6.2375,3.7143
9.929419,8500001454,8500.001454,5.7655,7.3403,7.0628,6.2766,3.7563
9.942008,8749998932,8749.998932,5.7941,7.3729,7.0934,6.3055,3.7841
9.954243,9000010166,9000.010166,5.816,7.4027,7.1202,6.3298,3.8028
9.966142,9250005692,9250.005692,5.8379,7.432,7.1468,6.354,3.8221
9.977724,9500008634,9500.008634,5.8596,7.4609,7.173,6.3781,3.8411
9.989004,9749986177,9749.986177,5.8813,7.4891,7.1988,6.4018,3.8606
10,10000000000,10000,5.9032,7.5168,7.2242,6.4252,3.8809
10.010724,10250003177,10250.00318,5.9249,7.5442,7.2494,6.4486,3.901
10.02119,10500016947,10500.01695,5.9465,7.5707,7.274,6.4716,3.9213
10.031408,10749988508,10749.98851,5.968,7.5964,7.298,6.4942,3.9417
10.041392,10999982646,10999.98265,5.9895,7.6218,7.3218,6.5166,3.9627
10.051152,11249986466,11249.98647,6.011,7.6464,7.3451,6.5387,3.984
10.060698,11500004227,11500.00423,6.0324,7.6705,7.368,6.5606,4.0052
10.070038,11750003609,11750.00361,6.0539,7.6943,7.3908,6.5824,4.0272
10.079182,12000020832,12000.02083,6.0751,7.7174,7.4131,6.6039,4.0486
10.088136,12249997498,12249.9975,6.0965,7.7401,7.435,6.6252,4.0712
10.09691,12499999626,12499.99963,6.1172,7.7623,7.4562,6.6457,4.0929
10.10551,12749994576,12749.99458,6.1342,7.7801,7.474,6.6632,4.1096
10.113943,12999989454,12999.98945,6.1491,7.7954,7.4898,6.6791,4.1235
10.122216,13250003714,13250.00371,6.1638,7.8107,7.5056,6.6949,4.1368
10.130334,13500007196,13500.0072,6.1785,7.8256,7.5211,6.7104,4.1507
10.138303,13750009556,13750.00956,6.1929,7.8405,7.5366,6.726,4.1636
10.146128,13999998850,13999.99885,6.2074,7.8555,7.5521,6.7415,4.1774
10.153815,14250004451,14250.00445,6.2219,7.8697,7.567,6.7566,4.1911
10.161368,14499999925,14499.99993,6.2362,7.8843,7.5822,6.7718,4.2043
10.168792,14749999310,14749.99931,6.2504,7.8984,7.597,6.7868,4.2175
10.176091,14999991053,14999.99105,6.2646,7.9124,7.6117,6.8017,4.2311
10.18327,15250005489,15250.00549,6.2786,7.9266,7.6265,6.8166,4.2442
10.190331,15499975082,15499.97508,6.2926,7.9402,7.6408,6.8312,4.2574
10.197281,15750016025,15750.01602,6.3067,7.954,7.6554,6.8459,4.2709
10.20412,16000000639,16000.00064,6.3205,7.9675,7.6696,6.8604,4.2839
10.210854,16250023748,16250.02375,6.3342,7.9808,7.6838,6.8749,4.297
10.217484,16500002119,16500.00212,6.3481,7.994,7.6978,6.8892,4.3103
10.224015,16750007275,16750.00728,6.3622,8.0068,7.7114,6.9032,4.3244
10.230449,17000003078,17000.00308,6.3758,8.0199,7.7253,6.9174,4.3374
10.236789,17249996052,17249.99605,6.3893,8.0326,7.739,6.9313,4.3504
10.243038,17499998038,17499.99804,6.4028,8.0453,7.7525,6.9453,4.3637
10.249198,17749985393,17749.98539,6.4163,8.0575,7.7658,6.959,4.3768
10.255273,18000020512,18000.02051,6.4297,8.0702,7.7793,6.9727,4.39
10.261263,18250005514,18250.00551,6.4431,8.0825,7.7925,6.9863,4.4033
10.267172,18500011569,18500.01157,6.4562,8.0944,7.8053,6.9996,4.4161
10.273002,18750031428,18750.03143,6.4696,8.106,7.8181,7.0129,4.4297
10.278753,18999973709,18999.97371,6.4827,8.1181,7.8311,7.0263,4.4426
10.284431,19250011797,19250.0118,6.4959,8.1295,7.8436,7.0392,4.4558
10.290034,19499972550,19499.97255,6.5088,8.1407,7.8559,7.052,4.469
10.295568,19750040930,19750.04093,6.5197,8.1532,7.868,7.0638,4.4786
10.30103,20000000200,20000.0002,6.5283,8.1661,7.8792,7.0739,4.4849
