Log Age,Age(yr),Age(Myr),Mbol,Mu,Mb,Mv,Mk
,0,0,-2.6865,-0.0477,1.0324,1.3293,2.0587
5.100002,125893.1209,0.125893121,-2.6865,-0.0477,1.0324,1.3293,2.0587
5.150001,141254.0797,0.14125408,-2.6865,-0.0477,1.0324,1.3293,2.0587
5.199999,158488.9543,0.158488954,-2.6865,-0.0477,1.0324,1.3293,2.0587
5.25,177827.941,0.177827941,-2.6865,-0.0477,1.0324,1.3293,2.0587
5.300002,199527.1504,0.19952715,-2.6865,-0.0477,1.0324,1.3293,2.0587
5.350002,223873.1448,0.223873145,-2.6865,-0.0477,1.0324,1.3293,2.0587
5.400001,251189.2215,0.251189222,-2.6865,-0.0477,1.0324,1.3293,2.0587
5.450001,281838.9421,0.281838942,-2.6865,-0.0477,1.0324,1.3293,2.0587
5.500002,316229.2223,0.316229222,-2.6865,-0.0477,1.0324,1.3293,2.0587
5.550002,354815.0232,0.354815023,-2.6865,-0.0477,1.0324,1.3293,2.0587
5.600002,398109.0039,0.398109004,-2.6865,-0.0477,1.0324,1.3293,2.0587
5.650002,446685.6492,0.446685649,-2.6865,-0.0477,1.0324,1.3293,2.0587
5.700002,501189.5417,0.501189542,-2.6865,-0.0477,1.0324,1.3293,2.0587
5.750002,562343.9149,0.562343915,-2.6865,-0.0477,1.0324,1.3293,2.0587
5.800003,630961.703,0.630961703,-2.6865,-0.0477,1.0324,1.3293,2.0587
5.850003,707950.6747,0.707950675,-2.6865,-0.0477,1.0324,1.3293,2.0587
5.900003,794333.7218,0.794333722,-2.6865,-0.0477,1.0324,1.3293,2.0587
5.950003,891257.0947,0.891257095,-2.6865,-0.0477,1.0324,1.3293,2.0587
6,1000000,1,-2.6865,-0.0477,1.0324,1.3293,2.0587
6.02,1047128.548,1.047128548,-2.6865,-0.0477,1.0324,1.3293,2.0587
6.040001,1096480.721,1.096480721,-2.6865,-0.0477,1.0324,1.3293,2.0587
6.059999,1148150.978,1.148150978,-2.6865,-0.0477,1.0324,1.3293,2.0587
6.079998,1202258.898,1.202258898,-2.6865,-0.0477,1.0324,1.3293,2.0587
6.100002,1258931.209,1.258931209,-2.6865,-0.0477,1.0324,1.3293,2.0587
6.120001,1318259.774,1.318259774,-2.6865,-0.0477,1.0324,1.3293,2.0587
6.139998,1380377.908,1.380377908,-2.6865,-0.0477,1.0324,1.3293,2.0587
6.16,1445439.771,1.445439771,-2.6865,-0.0477,1.0324,1.3293,2.0587
6.18,1513561.248,1.513561248,-2.6865,-0.0477,1.0324,1.3293,2.0587
6.199999,1584889.543,1.584889543,-2.6865,-0.0477,1.0324,1.3293,2.0587
6.220001,1659590.729,1.659590729,-2.6865,-0.0477,1.0324,1.3293,2.0587
6.24,1737800.829,1.737800829,-2.6865,-0.0477,1.0324,1.3293,2.0587
6.26,1819700.859,1.819700859,-2.6865,-0.0477,1.0324,1.3293,2.0587
6.28,1905460.718,1.905460718,-2.6865,-0.0477,1.0324,1.3293,2.0587
6.3,1995262.315,1.995262315,-2.6865,-0.0477,1.0324,1.3293,2.0587
6.319999,2089291.32,2.08929132,-2.6865,-0.0477,1.0324,1.3293,2.0587
6.34,2187761.624,2.187761624,-2.6865,-0.0477,1.0324,1.3293,2.0587
6.360001,2290872.928,2.290872928,-2.6865,-0.0477,1.0324,1.3293,2.0587
6.38,2398832.919,2.398832919,-2.6865,-0.0477,1.0324,1.3293,2.0587
6.399999,2511880.648,2.511880648,-2.7938,-0.4823,0.6221,0.9469,1.7032
6.420001,2630274.048,2.630274048,-2.7829,-0.4901,0.5818,0.8769,1.4923
6.44,2754228.703,2.754228703,-2.7933,-0.5342,0.4595,0.6856,1.0146
6.46,2884031.503,2.884031503,-2.8785,-0.7175,0.1925,0.367,0.5112
6.48,3019951.72,3.01995172,-2.9429,-0.8829,-0.0599,0.0696,0.1095
6.499999,3162270.379,3.162270379,-2.9802,-1.0786,-0.3916,-0.3143,-0.3709
6.52,3311311.215,3.311311215,-3.0581,-1.1675,-0.5,-0.4307,-0.4969
6.539999,3467360.521,3.467360521,-3.04,-1.2064,-0.525,-0.4504,-0.4979
6.56,3630780.548,3.630780548,-2.9467,-1.1351,-0.402,-0.318,-0.3178
